epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,359.706,0.45336,1.65515,0.82406,0.99684,0.54601,0.7705,0.76458,0.4053,12.1511,0.79535,0.00026245,0.00026245,0.00026245
151,362.012,0.47066,1.77669,0.83068,0.99837,0.54601,0.7705,0.76873,0.40336,12.0417,0.79637,0.0002575,0.0002575,0.0002575
152,364.361,0.45181,1.69346,0.81974,0.99753,0.54601,0.7705,0.76882,0.39166,12.1056,0.80126,0.00025255,0.00025255,0.00025255
153,366.679,0.47096,1.73278,0.83957,0.99705,0.54601,0.7705,0.7705,0.3925,12.1621,0.80325,0.0002476,0.0002476,0.0002476
154,369.001,0.45603,1.66111,0.82543,0.99752,0.54601,0.7705,0.76882,0.38731,12.0891,0.79689,0.00024265,0.00024265,0.00024265
155,371.316,0.47836,1.73291,0.83491,0.99383,0.54601,0.7705,0.7705,0.38305,11.9756,0.79438,0.0002377,0.0002377,0.0002377
156,373.655,0.4385,1.63238,0.8205,0.98387,0.54601,0.7705,0.76882,0.39042,11.889,0.79884,0.00023275,0.00023275,0.00023275
157,375.962,0.43772,1.69821,0.82174,0.98636,0.54601,0.7705,0.76882,0.38078,11.9931,0.79483,0.0002278,0.0002278,0.0002278
158,378.291,0.47886,1.75202,0.83964,0.99708,0.54601,0.7705,0.76882,0.3757,12.1029,0.79275,0.00022285,0.00022285,0.00022285
159,380.607,0.45105,1.73138,0.82884,0.99821,0.54601,0.7705,0.76508,0.37535,12.0732,0.79363,0.0002179,0.0002179,0.0002179
160,382.959,0.44969,1.58777,0.82465,0.9976,0.54601,0.7705,0.76882,0.37443,12.0106,0.79534,0.00021295,0.00021295,0.00021295
161,385.687,0.42022,1.57434,0.81425,0.99524,0.54601,0.7705,0.76882,0.37845,12.0345,0.79874,0.000208,0.000208,0.000208
162,388.084,0.43178,1.68167,0.82485,0.99681,0.54601,0.7705,0.76882,0.37872,12.1099,0.79476,0.00020305,0.00020305,0.00020305
163,390.43,0.44914,1.69016,0.82244,0.99789,0.54601,0.7705,0.76695,0.39423,12.2396,0.79501,0.0001981,0.0001981,0.0001981
164,392.831,0.45418,1.69929,0.83254,0.99795,0.54601,0.7705,0.76882,0.40071,12.2393,0.79644,0.00019315,0.00019315,0.00019315
165,395.369,0.44784,1.65721,0.82572,1,0.54601,0.7705,0.76449,0.40656,12.1839,0.79668,0.0001882,0.0001882,0.0001882
166,397.921,0.45078,1.61332,0.82673,1,0.54601,0.7705,0.75967,0.38731,12.1176,0.79461,0.00018325,0.00018325,0.00018325
167,400.471,0.45358,1.59971,0.82933,1,0.54601,0.7705,0.7705,0.38107,12.2629,0.79476,0.0001783,0.0001783,0.0001783
168,403.049,0.42743,1.56025,0.8193,0.99835,0.54601,0.7705,0.76896,0.37872,12.2996,0.79823,0.00017335,0.00017335,0.00017335
169,405.592,0.41959,1.58458,0.82121,0.99685,0.54601,0.7705,0.76415,0.36743,12.1655,0.80028,0.0001684,0.0001684,0.0001684
170,408.158,0.42253,1.59449,0.81559,0.99389,0.54601,0.7705,0.76699,0.37353,12.1633,0.79863,0.00016345,0.00016345,0.00016345
